Timestep,P1UDT942-P1UHS0_1247X.1,P1UDT942-P1UHS0_1247X.2,P1UDT942-P1UHS0_1247X.3
4/8/2018 17:45,-5.55E-08,-2.094395164,2.094395039
4/8/2018 18:00,-5.94E-08,-2.094395167,2.094395035
4/8/2018 18:15,-6.02E-08,-2.094395165,2.094395034
4/8/2018 18:30,-6.04E-08,-2.094395167,2.094395033
4/8/2018 18:45,-5.88E-08,-2.094395166,2.094395035
4/9/2018 7:00,-6.16E-08,-2.094395168,2.094395032
4/9/2018 7:15,-6.16E-08,-2.094395169,2.094395032
4/9/2018 7:30,-6.20E-08,-2.09439517,2.094395031
4/9/2018 7:45,-6.27E-08,-2.094395171,2.094395031
4/9/2018 8:00,-6.24E-08,-2.094395171,2.094395031
4/9/2018 8:15,-6.22E-08,-2.094395172,2.094395031
4/9/2018 8:30,-6.18E-08,-2.094395171,2.094395031
4/9/2018 8:45,-6.19E-08,-2.094395171,2.094395032
4/9/2018 9:00,-6.17E-08,-2.094395171,2.094395032
4/9/2018 9:15,-6.17E-08,-2.094395172,2.094395032
4/9/2018 9:30,-6.27E-08,-2.094395172,2.094395033
4/9/2018 9:45,-6.38E-08,-2.094395172,2.094395032
4/9/2018 10:00,-6.33E-08,-2.094395171,2.094395031
4/9/2018 10:15,-6.11E-08,-2.09439517,2.094395034
4/9/2018 10:30,-6.00E-08,-2.09439517,2.094395037
4/9/2018 10:45,-5.73E-08,-2.09439517,2.094395041
4/9/2018 11:00,-5.38E-08,-2.09439517,2.094395046
4/9/2018 11:15,-5.24E-08,-2.094395169,2.094395046
4/9/2018 11:30,-5.35E-08,-2.094395168,2.094395046
4/9/2018 11:45,-5.42E-08,-2.094395168,2.094395044
4/9/2018 12:00,-5.61E-08,-2.094395169,2.094395041
4/9/2018 12:15,-5.42E-08,-2.094395168,2.094395044
4/9/2018 12:30,-5.26E-08,-2.094395168,2.094395046
4/9/2018 12:45,-5.34E-08,-2.094395168,2.094395044
4/9/2018 13:00,-5.51E-08,-2.094395167,2.094395042
4/9/2018 13:15,-5.81E-08,-2.094395168,2.094395039
4/9/2018 13:30,-5.89E-08,-2.094395169,2.094395038
4/9/2018 13:45,-5.81E-08,-2.09439517,2.094395039
4/9/2018 14:00,-5.83E-08,-2.09439517,2.094395041
4/9/2018 14:15,-5.83E-08,-2.094395169,2.094395041
4/9/2018 14:30,-5.79E-08,-2.094395169,2.09439504
4/9/2018 14:45,-5.63E-08,-2.094395168,2.09439504
4/9/2018 15:00,-5.68E-08,-2.094395168,2.094395039
4/9/2018 15:15,-5.62E-08,-2.094395168,2.094395039
4/9/2018 15:30,-5.43E-08,-2.094395166,2.094395042
4/9/2018 15:45,-5.31E-08,-2.094395166,2.094395044
4/9/2018 16:00,-5.20E-08,-2.094395165,2.094395045
4/9/2018 16:15,-5.21E-08,-2.094395165,2.094395044
4/9/2018 16:30,-5.27E-08,-2.094395163,2.094395044
4/9/2018 16:45,-5.32E-08,-2.094395162,2.094395043
4/9/2018 17:00,-5.45E-08,-2.094395162,2.094395041
4/9/2018 17:15,-5.26E-08,-2.094395161,2.094395043
4/9/2018 17:30,-5.09E-08,-2.094395161,2.094395045
